new_names	old_names
FOSL2_-117-I	FOSL2_1
GPR39_P	GPR39_1
GPR39_23-I	GPR39_2
GPR39_207-I	GPR39_3
MITF_P	MITF_1
HEG1_16-I	HEG1_1
KIT_114-D	KIT_1
FGF2_-62-D	FGF2_1
FGF2_-44-D	FGF2_2
IRF4_4-I	IRF4_1
EDN1_P	EDN1_1
EDN1_283-D	EDN1_3
RRAGD_P	RRAGD_1
COL1A2_-93-D	COL1A2_1
SERPINE1_-110-I	SERPINE1_1
SERPINE1_-27-D	SERPINE1_2
SERPINE1_-5-D	SERPINE1_6
FLNC_-2-D	FLNC_1
FLNC_P	FLNC_2
BLK_-19-D	BLK_1
BLK_-13-D	BLK_3
BLK_21-I	BLK_5
BLK_22-I	BLK_6
MLANA_5-I	MLANA_1
COL5A1_-139-D	COL5A1_1
COL5A1_-89-D	COL5A1_2
COL5A1_-50-D	COL5A1_3
COL5A1_-39-D	COL5A1_4
COL5A1_-17-D	COL5A1_5
COL5A1_-4-D	COL5A1_6
COL5A1_21-I	COL5A1_8
BDNF_P	BDNF_1
TYR_-9-D	TYR_1
TYR_-1-D	TYR_2
TYR_P	TYR_3
CDH1_24-I	CDH1_1
CDH1_49-I	CDH1_2
MAP3K14_-2-D	MAP3K14_1
ABCC3_11-I	ABCC3_1
SMURF2_-18-D	SMURF2_1
SMURF2_-21-D	SMURF2_2
SMURF2_-47-D	SMURF2_3
ALPK2_49-E	ALPK2_1
ALPK2_44-I	ALPK2_2
SOX10_15-3U	SOX10_1
SOX10_-3-D	SOX10_2
SOX10_-34-D	SOX10_3
SOX10_-35-D	SOX10_4
SOX10_-56-D	SOX10_5
AXL_4-I	AXL_2
SGCD_15-I	SGCD_2
SGCD_26-I	SGCD_3
GPM6B_P	GPM6B_2
