new_names	old_names
FOSL2_-117-IA	FOSL2_1A
FOSL2_-117-IB	FOSL2_1B
GPR39_P	GPR39_1
GPR39_23-I	GPR39_2
MITF_P	MITF_1
HEG1_16-I	HEG1_1
KIT_114-DA	KIT_1A
KIT_114-DB	KIT_1B
FGF2_-62-DA	FGF2_1A
FGF2_-62-DB	FGF2_1B
FGF2_-44-D	FGF2_2
IRF4_4-I	IRF4_1
EDN1_P	EDN1_1
EDN1_283-D	EDN1_3
COL1A2_-93-D	COL1A2_1
SERPINE1_-110-IA	SERPINE1_1A
SERPINE1_-110-IB	SERPINE1_1B
SERPINE1_-27-D	SERPINE1_2
SERPINE1_-5-D	SERPINE1_6
FLNC_-2-DA	FLNC_1A
FLNC_-2-DB	FLNC_1B
BLK_-13-D	BLK_3
BLK_21-I	BLK_5
MLANA_5-I	MLANA_1
COL5A1_-139-D	COL5A1_1
COL5A1_-89-D	COL5A1_2
COL5A1_-50-D	COL5A1_3
COL5A1_-39-D	COL5A1_4
COL5A1_-17-D	COL5A1_5
COL5A1_21-I	COL5A1_8
TYR_-9-D	TYR_1
TYR_-1-D	TYR_2
CDH1_24-I	CDH1_1
CDH1_49-I	CDH1_2
ABCC3_11-I	ABCC3_1
ALPK2_44-I	ALPK2_2
SOX10_15-3UA	SOX10_1A
SOX10_15-3UB	SOX10_1B
SOX10_-34-DA	SOX10_3A
SOX10_-34-DB	SOX10_3B
SOX10_-56-DA	SOX10_5A
SOX10_-56-DB	SOX10_5B
AXL_4-I	AXL_2
SGCD_15-IA	SGCD_2A
SGCD_15-IB	SGCD_2B
SGCD_26-I	SGCD_3
